URL	Email	Inquiry Form URL	Company Name	Industry	HTTP Status	Robots Allowed	Last Crawled At	Crawl Status	Error Message																
https://www.konanhanbai.jp/		https://www.konanhanbai.jp/contact/	コナン販売株式会社		200	TRUE	2025-12-10 14:22:16	success																	
https://www.wedding-b.com/		https://www.wedding-b.com/contactus.html	結婚相談のウエディング・ベル		200	TRUE	2025-12-10 14:22:23	success																	
https://mcc-muguet.jp/		https://mcc-muguet.jp/contact.html	エムシー・くりえーと		200	TRUE	2025-12-10 14:22:31	success																	
http://6gatsunomori.com/		https://6gatsunomori.com/	トップページ		200	TRUE	2025-12-10 14:22:36	success																	
https://www.fairlen.com/			フェアレン宇都宮		200	TRUE	2025-12-10 14:22:40	success																	
https://globe-corp.jp/		https://globe-corp.jp/contact.html	株式会社globeコーポレーション		200	TRUE	2025-12-10 14:22:47	success																	
https://lamour-kekkon.com/		https://lamour-kekkon.com/rsvform/	婚活するならラムールしあわせ結婚相談所		200	TRUE	2025-12-10 14:22:51	success																	
https://cowa.co.jp/		https://cowa.co.jp/inquiry/	ハートステーション幸和		200	TRUE	2025-12-10 14:23:02	success																	
http://fs-corporation.co.jp/			エフズコーポレーション		200	TRUE	2025-12-10 14:23:06	success																	
https://kma-h.co.jp/		https://kma-h.co.jp/inquiry/	埼玉県さいたま市の		200	TRUE	2025-12-10 14:23:11	success																	
http://www.nsjh.co.jp/index.html		http://www.nsjh.co.jp/contact.html	ＴＯＰ		200	TRUE	2025-12-10 14:23:13	success																	
https://aics-agency.com/		https://aics-agency.com/	埼玉県さいたま市大宮の		200	TRUE	2025-12-10 14:23:20	success																	
http://partner-k.co.jp/					0	TRUE	2025-12-10 14:23:27	error	Connection error: HTTPConnectionPool(host='partner-k.co.jp', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("HTTPConnection(host='partner-k.co.jp', port=80): Failed to resolve 'partner-k.co.jp' ([Errno 11001] getaddrinfo failed)"))																
http://azul-a.co.jp/					0	TRUE	2025-12-10 14:23:33	error	Connection error: HTTPConnectionPool(host='azul-a.co.jp', port=80): Max retries exceeded with url: / (Caused by NameResolutionError("HTTPConnection(host='azul-a.co.jp', port=80): Failed to resolve 'azul-a.co.jp' ([Errno 11001] getaddrinfo failed)"))																
http://mizuden.jp/					200	TRUE	2025-12-10 14:23:35	error																	
